Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.001299 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000744 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000616 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000679 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000520 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.000519 seconds
Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.001012 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000578 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000955 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000664 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000460 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap-tweaks.css, View function: None, Status code: 404, Time taken: 0.000628 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap.min.css, View function: None, Status code: 404, Time taken: 0.000512 seconds
Method: GET, Path: /static/rest_framework/css/default.css, View function: None, Status code: 404, Time taken: 0.000459 seconds
Method: GET, Path: /static/rest_framework/css/prettify.css, View function: None, Status code: 404, Time taken: 0.000592 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.000340 seconds
Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.001175 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000652 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000491 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000428 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000406 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.000409 seconds
Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.001034 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000309 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.001197 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000394 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.001272 seconds
Method: GET, Path: /customer/, View function: IndexPageCustomer, Status code: 200, Time taken: 0.039671 seconds
Method: GET, Path: /static/style/style.css, View function: None, Status code: 404, Time taken: 0.001251 seconds
Method: GET, Path: /static/js/custom.js, View function: None, Status code: 404, Time taken: 0.000356 seconds
Method: GET, Path: /static/img/logo.png, View function: None, Status code: 404, Time taken: 0.000400 seconds
Method: GET, Path: /static/img/logo.png, View function: None, Status code: 404, Time taken: 0.000351 seconds
Method: GET, Path: /static/js/custom.js, View function: None, Status code: 404, Time taken: 0.000410 seconds
Method: GET, Path: /customer/, View function: IndexPageCustomer, Status code: 200, Time taken: 0.037345 seconds
Method: GET, Path: /customer/, View function: IndexPageCustomer, Status code: 200, Time taken: 0.042233 seconds
Method: GET, Path: /static/style/style.css, View function: None, Status code: 404, Time taken: 0.001568 seconds
Method: GET, Path: /static/js/custom.js, View function: None, Status code: 404, Time taken: 0.000537 seconds
Method: GET, Path: /static/img/logo.png, View function: None, Status code: 404, Time taken: 0.000495 seconds
Method: GET, Path: /static/img/logo.png, View function: None, Status code: 404, Time taken: 0.000317 seconds
Method: GET, Path: /static/js/custom.js, View function: None, Status code: 404, Time taken: 0.000626 seconds
